"Pair","Interaction","EINT","ELST","DISP","SAPT2ELST","SAPT2EXCH","SAPT2IND","SAPT2DISP","Shortest_Normalized_Distance"
"4-Aminopyridine-Acetate","Neutral - Anion",-52.049,-25.9481,-26.1007,-33.36901147,27.99919956,-18.96282813,-29.98185406,0.979355223831928
"4-Aminopyridine-Ammonium","Neutral - Cation",-67.617,-59.8036,-7.81319,-40.32670444,14.1792784,-30.3391672,-11.9954312,1.00831700683079
"4-Aminopyridine-Bistriflimide","Neutral - Anion",-18.645,9.00137,-27.6466,-2.64191555,21.42349731,-10.69293438,-29.32300302,1.06423387551883
"4-Aminopyridine-Br","Neutral - Anion",-23.51,-20.6004,-2.90989,-15.5798253,1.18149523,-6.97876935,-2.79411689,1.43154215514638
"4-Aminopyridine-Br-S2","Neutral - Anion",5.125,10.4418,-5.31649,14.2383309,1.74014559,-7.64921119,-4.34090464,1.37457213865212
"4-Aminopyridine-Cl","Neutral - Anion",-3.642,6.13053,-9.77212,10.39128109,8.05241125,-14.79875878,-9.37436426,1.2206591808339
"4-Aminopyridine-Dicyanamide","Neutral - Anion",-26.519,-1.62899,-24.8897,-12.04231095,21.46328799,-10.72366121,-28.46664983,1.02232069534175
"4-Aminopyridine-Formate","Neutral - Anion",-5.496,15.9066,-21.4024,7.70609707,21.66931708,-16.23462136,-20.86281363,1.03440722598504
"4-Aminopyridine-Imidazolium","Neutral - Cation",-45.879,3.83177,-49.7111,-28.8691942,49.88261,-13.81593969,-54.27101955,0.994645437144489
"4-Aminopyridine-Li","Neutral - Cation",-162.372,-154.349,-8.02293,-63.32157388,21.32994144,-104.6388369,-1.37339339,0.703209546484509
"4-Aminopyridine-Methanesulfonate","Neutral - Anion",-51.588,-27.7655,-23.8222,-35.17578074,26.3190286,-17.02145118,-27.99052707,0.986505659307829
"4-Aminopyridine-Phosphonium","Neutral - Cation",-57.298,-41.6286,-15.6693,-30.83903608,24.31665808,-31.85769323,-19.54686805,0.992282948457028
"4-Aminopyridine-Pyridinium","Neutral - Cation",-57.108,-19.1755,-37.9327,-38.3595938,39.72827641,-17.77042513,-42.86862122,0.960224244896304
"4-Aminopyridine-Pyrrolium","Neutral - Cation",-64.363,-28.1037,-36.2588,-38.76494737,38.30546438,-24.81420647,-38.9044752,0.943039652293886
"4-Aminopyridine-Tetrafluoroborate","Neutral - Anion",-4.564,12.5307,-17.0943,13.61527607,10.66286327,-14.44100368,-13.89025348,1.04712329818828
"4-Aminopyridine-Tetramethylammonium","Neutral - Cation",-41.426,-17.4993,-23.9268,-28.1525934,28.11864267,-14.7829564,-28.0056114,0.967778651422846
"4-Aminopyridine-Tetramethylphosphonium","Neutral - Cation",-38.734,-14.6993,-24.035,-26.37190497,27.36556705,-13.25886317,-28.32830079,0.962406081708811
"4-Aminopyridine-Trifluoroacetate","Neutral - Anion",-51.769,-25.146,-26.6227,-36.03220123,28.93582092,-16.19706865,-28.44051401,0.987081810904111
"4-Aminopyridine-Trifluoromethanesulfonate","Neutral - Anion",-2.314,18.4924,-20.8061,14.70564289,15.19770075,-12.93160053,-20.89879994,1.0759006723741
"4-ethoxypyridine-Acetate","Neutral - Anion",-48.089,-17.6068,-30.4823,-25.9632559,34.29308031,-24.5016178,-34.12023874,0.999895769300766
"4-ethoxypyridine-Ammonium","Neutral - Cation",-58.068,-51.2464,-6.8214,-29.29210779,10.91422932,-30.45800829,-10.70998556,0.997297336996238
"4-ethoxypyridine-Bistriflimide_10_04","Neutral - Anion",-2.551146,-2.18453,-0.366616,-1.68736661,-3.712e-05,-0.57481054,-0.21570361,2.70423331928327
"4-ethoxypyridine-Bistriflimide_10_86","Neutral - Anion",-2.049981,-1.81345,-0.236531,-1.45162591,-1.591e-05,-0.42589986,-0.13540089,2.95232014982928
"4-ethoxypyridine-Bistriflimide_11_69","Neutral - Anion",-1.69135,-1.5308,-0.16055,-1.26205106,-5.24e-06,-0.32200072,-0.08793117,3.19894645023844
"4-ethoxypyridine-Bistriflimide_12_52","Neutral - Anion",-1.425548,-1.31067,-0.114878,-1.10735053,-1.22e-06,-0.24781299,-0.05879764,3.44706454233482
"4-ethoxypyridine-Bistriflimide_13_35","Neutral - Anion",-1.2221545,-1.13579,-0.0863645,-0.97943921,-2e-07,-0.19373086,-0.04032958,3.69637403000217
"4-ethoxypyridine-Bistriflimide_14_17","Neutral - Anion",-1.0619589,-0.994526,-0.0674329,-0.87245923,-2e-08,-0.15358536,-0.02828755,3.94664900973492
"4-ethoxypyridine-Bistriflimide_15_00","Neutral - Anion",-0.9325907,-0.878625,-0.0539657,-0.78208436,0,-0.12327542,-0.0202382,4.19771702908953
"4-ethoxypyridine-Bistriflimide_4_25","Neutral - Anion",-46.38228,-4.94058,-41.4417,-18.70252449,29.25128222,-14.2412504,-37.17600001,0.930709946800067
"4-ethoxypyridine-Bistriflimide_5_08","Neutral - Anion",-27.0045,-11.1698,-15.8347,-6.57209529,2.23111706,-6.94400503,-12.67561245,1.17900962217251
"4-ethoxypyridine-Bistriflimide_5_90","Neutral - Anion",-15.04826,-8.19502,-6.85324,-4.51162021,0.16113329,-4.03059181,-5.04295445,1.44872337727842
"4-ethoxypyridine-Bistriflimide_6_73","Neutral - Anion",-9.24435,-5.88794,-3.35641,-3.54172641,0.01078568,-2.52291696,-2.28965646,1.72642863050079
"4-ethoxypyridine-Bistriflimide_7_56","Neutral - Anion",-6.18191,-4.3843,-1.79761,-2.87030275,0.00027336,-1.65410943,-1.14922894,1.96614830899878
